course,task,descriptor,descriptor2,weight
BIOL1020,Online Quiz,Online Learning (EdX) questions,,0
BIOL1020,Readings,Textbook readings and associated questions,,0
BIOL1020,Mini-test,Mini-tests,,0.5
BIOL1020,Exam - during Exam Period (Central),Online invigilated exam,,0.5
BIOL1040,Practical,Practical Report - Osmosis,,0.05
BIOL1040,Practical,Practical Report - Action Potential,,0.05
BIOL1040,Practical,Practical Report - Skeletal Muscle,,0.05
BIOL1040,Practical,Practical Report - Plant Form & Function,,0.05
BIOL1040,Communication,Personal Response,,0.06
BIOL1040,Communication - eConference,Biohorizons - PowerPoint Presentation,,0.05
BIOL1040,Communication - eConference,Biohorizons - Professional Response,,0.1
BIOL1040,Online Quiz,Mastering Biology Quiz 1 - Modules 1 & 2,,0.03
BIOL1040,Online Quiz,Mastering Biology Quiz 2 - Modules 3 & 4,,0.03
BIOL1040,Online Quiz,Mastering Biology Quiz 3 - Modules 5 & 6,,0.03
BIOL1040,Exam - during Exam Period (Central),Online (Blackboard) Invigilated Theory Exam,,0.5
BIOM1051,Practical,Practical Report - Osmosis,,0.05
BIOM1051,Practical,Practical Report - Action Potential,,0.05
BIOM1051,Practical,Practical Report - Skeletal Muscle,,0.05
BIOM1051,Practical,Practical Report - Biochemistry,,0.05
BIOM1051,Communication,Personal Response,,0.06
BIOM1051,Communication - eConference,Biohorizons - PowerPoint Presentation,,0.05
BIOM1051,Communication - eConference,Biohorizons - Professional Response,,0.1
BIOM1051,Online Quiz,Mastering Biology Quiz 1 - Modules 1 & 2,,0.03
BIOM1051,Online Quiz,Mastering Biology Quiz 2 - Modules 3 & 4,,0.03
BIOM1051,Online Quiz,Mastering Biology Quiz 3 - Modules 5 & 6,,0.03
BIOM1051,Exam - during Exam Period (Central),Online (Blackboard) Invigilated Theory Exam,,0.5
BIOM1052,Meta-learning,Meta-learning task 1,,0.03
BIOM1052,Meta-learning,Meta-learning task 2,,0.03
BIOM1052,Meta-learning,Meta-learning task 3,,0.03
BIOM1052,Meta-learning,Meta-learning task 4,,0.03
BIOM1052,Practical Worksheets,"Microanatomy of the Skin, EMG & Somatosensory",,0
