"","course","lo"
"1","BIOL1020","Identify and describe how cellular, genetic, and evolutionary processes impact everyday human life, including (but not limited to) effects on human health, agriculture, and biodiversity."
"2","BIOL1020","Be able to formulate testable hypotheses and evaluate those hypotheses against empirical results."
"3","BIOL1020","Compare and contrast the diversity in molecular components and cellular structures across the three domains of life and describe examples of fundamental similarities arising from the common origin of life."
"4","BIOL1020","Explain how cells are able to coordinate the basic molecular building blocks of life in order to divide, replicate, and survive."
"5","BIOL1020","Demonstrate understanding of the physical nature of the gene and molecular processes underlying the Central Dogma of molecular biology."
"6","BIOL1020","Compare and contrast the gene regulatory mechanisms between bacteria and eukaryotes."
"7","BIOL1020","Describe how the physical packing of DNA (into linear or circular chromosomes or plasmids) and the associated mechanisms of DNA copying create observable patterns of phenotypic trait inheritance."
"8","BIOL1020","Explain and compare processes contributing to genetic variability, including but not limited to: mutation, recombination, transformation, gene flow, horizontal gene transfer, gene and genome duplication, genetic drift, and natural selection."
"9","BIOL1040","Explain and discuss specific examples of biological research in different communication modes and forums"
"10","BIOL1040","Demonstrate core competency in basic biological laboratory techniques"
"11","BIOL1040","Demonstrate sound scientific reasoning in the context of practical sessions"
"12","BIOL1040","Demonstrate an appreciation of the processes that scientists use to discover and verify new knowledge"
"13","BIOL1040","Demonstrate quantitative skills (QS) and their application in biology"
"14","BIOL1040","Work effectively in teams to achieve sound academic outcomes"
"15","BIOL1040","Demonstrate an understanding of the control, integration and coordination mechanisms that are required to maintain a functional organism"
"16","BIOL1040","Demonstrate an appreciation that diversity is reflected through biological adaptation among species"
"17","BIOL1040","Describe the structure and function of major organ systems"
"18","BIOL1040","Demonstrate an understanding of how pathways of intercellular and extracellular communication are integral to homeostasis"
"19","BIOL1040","Demonstrate how support and movement are related"
"20","BIOL1040","Describe the physical and electrochemical properties of cell membranes in terms of excitable and non-excitable cells"
"21","BIOL1040","Relate the internal transport and delivery of gases, nutrients and messengers to the organ systems of relevant systems"
"22","BIOL1040","Explain homeostatic mechanisms in plants and their differences compared with corresponding systems in animals"
"23","BIOL1040","Demonstrate an appreciation of the interdisciplinary nature of biological systems"
"24","BIOM1051","Explain and discuss specific examples of biological research in different communication modes and forums."
"25","BIOM1051","Demonstrate sound scientific reasoning in the context of practical sessions."
"26","BIOM1051","Demonstrate an appreciation of the processes that scientists use to discover and verify new knowledge."
"27","BIOM1051","Demonstrate quantitative skills (QS) and their application in biology."
"28","BIOM1051","Work effectively in teams to achieve sound academic outcomes."
"29","BIOM1051","Demonstrate an understanding of the control, integration and coordination mechanisms that are required to maintain a functional organism."
"30","BIOM1051","Demonstrate an appreciation that diversity is reflected through biological adaptation among species."
"31","BIOM1051","Describe the structure and function of major organ systems."
"32","BIOM1051","Demonstrate an understanding of how pathways of intracellular and extracellular communication are integral to homeostasis."
"33","BIOM1051","Demonstrate an appreciation of the biochemical basis of biological function."
"34","BIOM1051","Describe the physical and electrochemical properties of cell membranes in terms of excitable and non-excitable cells."
"35","BIOM1051","Demonstrate how support and movement are interrelated."
"36","BIOM1051","Relate the internal transport and delivery of gases, nutrients and messengers to the organ systems of relevant species."
"37","BIOM1051","Demonstrate an appreciation of the interdisciplinary nature of biological systems."
"38","BIOM1052","Demonstrate an understanding of the structure and morphology of major tissues and organs"
"39","BIOM1052","Demonstrate an appreciation of the relationship between structure and function"
"40","BIOM1052","Demonstrate an understanding of homeostasis and control of major physiological systems"
"41","BIOM1052","Read and critically analyse the scientific literature"
"42","BIOM1052","Work together online in groups to communicate and analyse results of laboratory experiments"
"43","BIOM1052","Demonstrate sound scientific reasoning in the context of practical sessions"
"44","BIOM1052","Demonstrate an understanding of the control, integration and coordination mechanisms that are required to maintain a functional organism"
"45","BIOM1052","Demonstrate an appreciation of the interdependent nature of biological systems"
"46","BIOM2009","Synthesise knowledge, and be able to draw conclusions and or propose 
explanations of physiological/pharmacological phenomena"
"47","BIOM2009","Critically analyse and test hypotheses"
"48","BIOM2009","Learn independently"
"49","BIOM2009","Acquire experimental data and demonstrate good record-keeping skills, and statistically analyse scientific data"
"50","BIOM2009","Use appropriate scientific written communication skills"
"51","BIOM2009","Work in a team environment"
"52","BIOM2010","Describe physiological processes in the endocrine, reproductive and gastrointestinal body systems."
"53","BIOM2010","Demonstrate an understanding of integrated physiological processes between different body systems."
"54","BIOM2010","Describe abnormal physiology related to diseases."
"55","BIOM2010","Demonstrate an understanding of the mechanisms of action of various drugs used for endocrine, reproductive, gastrointestinal and neurodegenerative diseases."
"56","BIOM2015","demonstrate an understanding and appreciation of the structure and function of the major physiological systems"
"57","BIOM2015","demonstrate an understanding and appreciation of how physiological systems maintain health"
"58","BIOM2015","demonstrate an understanding and appreciation of integration and control of the major physiological systems"
"59","BIOM2015","demonstrate an understanding and appreciation of the effects of aging on human health"
"60","BIOM2015","demonstrate an understanding and appreciation of the mechanisms of actions of drugs which affect the cardiovascular, gastrointestinal,  renal, respiratory, nervous and endocrine systems"
"61","BIOM2015","work scientifically, propose explanations, test hypotheses and draw conclusions about human physiology and pharmacology through practical experimentation"
"62","BIOM2015","create either collaboratively a short video, or individually a written text, that effectively communicates how disruption of homoeostasis can lead to an acute illness or chronic health disorder."
"63","BIOM3010","Draw conclusions from and propose explanations for physiological and pharmacological phenomena."
"64","BIOM3010","Demonstrate an understanding of the mechanisms of action of drugs which affect the cardiovascular and renal systems."
"65","BIOM3010","Show an understanding of physiological and pharmacological measurement techniques, including hypothesis testing and analysis of experimental data."
"66","BIOM3010","Develop skills in critical analysis of experimental physiological and pharmacological data."
"67","BIOM3011","draw conclusions from and propose explanations for physiological and pharmacological phenomena."
