,course_names,course_links,ecp_links,ecp_links_assessment
1,BIOL1020,https://my.uq.edu.au/programs-courses/course.html?course_code=BIOL1020,https://course-profiles.uq.edu.au/student_section_loader/section_1/104161,https://course-profiles.uq.edu.au/student_section_loader/section_5/104161
2,BIOL1040,https://my.uq.edu.au/programs-courses/course.html?course_code=BIOL1040,https://course-profiles.uq.edu.au/student_section_loader/section_1/106048,https://course-profiles.uq.edu.au/student_section_loader/section_5/106048
3,BIOM1051,https://my.uq.edu.au/programs-courses/course.html?course_code=BIOM1051,https://course-profiles.uq.edu.au/student_section_loader/section_1/104720,https://course-profiles.uq.edu.au/student_section_loader/section_5/104720
4,BIOM1052,https://my.uq.edu.au/programs-courses/course.html?course_code=BIOM1052,https://course-profiles.uq.edu.au/student_section_loader/section_1/99563,https://course-profiles.uq.edu.au/student_section_loader/section_5/99563
5,BIOM2009,https://my.uq.edu.au/programs-courses/course.html?course_code=BIOM2009,https://course-profiles.uq.edu.au/student_section_loader/section_1/104527,https://course-profiles.uq.edu.au/student_section_loader/section_5/104527
6,BIOM2010,https://my.uq.edu.au/programs-courses/course.html?course_code=BIOM2010,https://course-profiles.uq.edu.au/student_section_loader/section_1/100167,https://course-profiles.uq.edu.au/student_section_loader/section_5/100167
7,BIOM2015,https://my.uq.edu.au/programs-courses/course.html?course_code=BIOM2015,https://course-profiles.uq.edu.au/student_section_loader/section_1/105647,https://course-profiles.uq.edu.au/student_section_loader/section_5/105647
8,BIOM3010,https://my.uq.edu.au/programs-courses/course.html?course_code=BIOM3010,https://course-profiles.uq.edu.au/student_section_loader/section_1/104526,https://course-profiles.uq.edu.au/student_section_loader/section_5/104526
9,BIOM3011,https://my.uq.edu.au/programs-courses/course.html?course_code=BIOM3011,https://course-profiles.uq.edu.au/student_section_loader/section_1/99526,https://course-profiles.uq.edu.au/student_section_loader/section_5/99526
10,CHEM1222,https://my.uq.edu.au/programs-courses/course.html?course_code=CHEM1222,https://course-profiles.uq.edu.au/student_section_loader/section_1/100811,https://course-profiles.uq.edu.au/student_section_loader/section_5/100811
